rows,aajtak.csv,AmarUjalaNews.csv,BloombergQuint.csv,bsindia.csv,BTVI.csv,businessline.csv,CNBCTV18Live.csv,CNBC_Awaaz.csv,CNNnews18.csv,DainikBhaskar.csv,DDNewsLive.csv,DeccanChronicle.csv,DeccanHerald.csv,dna.csv,EconomicTimes.csv,ETNOWlive.csv,FinancialXpress.csv,firstpost.csv,FortuneIndia.csv,fpjindia.csv,HindustanTimes.csv,htTweets.csv,HuffPostIndia.csv,IndianExpress.csv,IndiaToday.csv,indiatvnews.csv,JagranNews.csv,livemint.csv,LogicalIndians.csv,mid_day.csv,MirrorNow.csv,MumbaiMirror.csv,NavbharatTimes.csv,ndtv.csv,ndtvindia.csv,NDTVProfit.csv,NewIndianXpress.csv,News18India.csv,News24.csv,NEWS9.csv,newslaundry.csv,NewsX.csv,OfficialRDIndia.csv,Oneindia.csv,otvnews.csv,Outlookindia.csv,postcard_news.csv,qzindia.csv,RealRediffCom.csv,republic.csv,ReutersIndia.csv,rightlog_in.csv,RisingKashmir.csv,rpbreakingnews.csv,RVCJ_FB.csv,ScoopWhoop.csv,scroll_in.csv,SundayGuardian.csv,SwarajyaMag.csv,TheAsianAgeNews.csv,thebetterindia.csv,TheDailyPioneer.csv,thenewsminute.csv,TheQuint.csv,TheStatesmanLtd.csv,thetribunechd.csv,TheWeek.csv,thewire_in.csv,the_hindu.csv,TimesNow.csv,otimesofindia.csv,WIONews.csv,YahooNews.csv,YouthKiAwaaz.csv,ZeeBusiness.csv,ZeeNews.csv
ndtvindia.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043927699,0.042674492,0.298122733,0.001464269,0.00023518,0.046284624,0.056420717,8.82E-05,0.016023295,0.016212039,0.066295056,0.005402863,0.005501852,0.003976509,0.058317899,0.046083689,0.003002126,0.007737377,0.049353962,0.005965416,0.011979259,0.058265933,0.002385645,0.020811194,0.008854091,0.012960577,0.007718682,0.030356164,0.060519364,0.002905197,0.017584963,0.000875148,0.072201794,0.052403879,0.038402498,0.031376972,0.015305841,0.005161364,0.006838035,0.034093986,0.077131518
NDTVProfit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098918364,0.040978271,0.000618838,0.000228714,0.021003324,0.090061379,7.78E-05,0.00936741,0.012242886,0.036083564,0.002487075,0.006984201,0.003192712,0.029928563,0.101432639,0.001705163,0.004239222,0.008491271,0.002934196,0.011174391,0.028335215,0.001812439,0.011866743,0.005591953,0.050022194,0.00445397,0.019117516,0.028710682,0.001640649,0.007415941,0.00106618,0.028386115,0.055797768,0.043668242,0.032727198,0.00944301,0.00463282,0.008562386,0.066859487,0.065982541
NewIndianXpress.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043228412,0.000612443,0.000397933,0.044293109,0.230092733,0.000198819,0.029091215,0.014688651,0.080499014,0.007951926,0.010214742,0.007134972,0.038085102,0.205413772,0.005668799,0.008468489,0.015005333,0.004206631,0.016446277,0.049267851,0.007294725,0.029031754,0.017239632,0.029634675,0.017276641,0.046873293,0.043556541,0.004876197,0.018115358,0.00232907,0.040770824,0.03750952,0.020523172,0.017030488,0.019954632,0.006066002,0.019400466,0.025083525,0.037899034
News18India.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001937605,0.000244248,0.032449248,0.055082842,7.54E-05,0.013545441,0.025442152,0.056429121,0.00576399,0.003787574,0.003092322,0.072469663,0.045196065,0.00360249,0.006762438,0.043922972,0.005713396,0.012913679,0.042278407,0.001924738,0.020764702,0.00649493,0.01826255,0.006218131,0.024987185,0.044245086,0.002067699,0.012259516,0.000712068,0.047329787,0.070893125,0.058109834,0.046239419,0.014164397,0.006004056,0.005335086,0.031081767,0.127290198
News24.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000176768,0.000358568,0.000915714,1.72E-06,0.0002675,0.000143997,0.000625136,5.39E-05,0.000205025,7.31E-05,0.000655427,0.00130618,3.29E-05,0.000164569,0.000339605,9.54E-05,0.000165106,0.000516024,5.70E-05,0.000209113,0.000176572,0.000216423,0.000111644,0.000401479,0.000513211,6.73E-05,0.000196186,0.00052848,0.000607085,0.001194548,0.001165479,0.001228471,0.000248865,0.004124849,8.22E-05,0.00041131,0.002035259
NEWS9.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000379357,0.000390923,5.34E-06,0.000410096,8.05E-05,0.000563089,0.000107162,0.000217992,0.000147058,0.00032194,0.000916026,3.91E-05,0.000153645,0.000100313,4.79E-05,0.000125972,0.000374276,0.000127901,0.000236133,0.000319657,0.000104076,0.000196092,0.000484743,0.000336033,0.000122756,0.000199565,0.001638901,0.000268249,0.000132216,0.000111683,0.000104382,0.000404304,0.002650092,8.27E-05,0.000304269,0.00015065
newslaundry.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030268758,0.000969087,0.038969529,0.007992159,0.11407548,0.014246669,0.03813407,0.022336721,0.042794799,0.052317054,0.014728165,0.020607566,0.018578582,0.006781394,0.035700958,0.164191215,0.017881033,0.069188457,0.039837786,0.018215239,0.033081123,0.104319101,0.119175411,0.010478753,0.046858335,0.00352881,0.123025153,0.015437094,0.008330186,0.00714044,0.043332641,0.00550627,0.026139462,0.028865651,0.011984182
NewsX.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000113026,0.015911879,0.011961995,0.042633511,0.00662644,0.006699186,0.003430852,0.042310067,0.151448968,0.00490163,0.00755863,0.016247453,0.003894567,0.010028257,0.039490694,0.003466935,0.023205942,0.010844782,0.024336554,0.009660559,0.033257676,0.035025309,0.002987752,0.013057099,0.000996343,0.034521001,0.032757588,0.021301659,0.016156595,0.018581897,0.004250858,0.007022093,0.027588819,0.042288421
OfficialRDIndia.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000377379,4.88E-05,0.000640513,0.00027772,0.002117647,0.000966523,0.000228985,0.000215763,0.000585075,0.0002871,6.93E-05,8.27E-05,0.000325775,0.000801081,0.001556824,0.000573427,0.001645294,0.000136073,0.001376425,0.000735593,0.000595461,0.002170767,0.001026777,9.31E-05,0.000491987,5.81E-05,2.74E-05,2.59E-05,0.000796576,1.36E-05,0.000529786,0.000216042,2.87E-05
Oneindia.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003946489,0.03946235,0.02433132,0.018134495,0.023275379,0.018849512,0.018165189,0.017495998,0.007572362,0.013253769,0.004171063,0.010274316,0.027123609,0.017861123,0.041888414,0.03613176,0.007312591,0.051792944,0.048677151,0.023366704,0.012036568,0.029271768,0.001946994,0.016697491,0.005301522,0.003567963,0.002936025,0.029198223,0.002984966,0.008303716,0.020712874,0.005420314
